Year,Americas others,Asean,Asia others,Australia,China,Europe others,France,Germany,Hong Kong,India,Japan,Korea,Oceania others,USA
2000,1138.7000000000003,4911.7,8238.599999999999,1405.1000000000001,1042.3,5017.5,439.0,1030.3,1853.4000000000003,537.3000000000001,3252.6,850.0999999999999,241.4000000000001,6907.400000000001
2001,1225.1,5243.6,8578.300000000001,1486.8999999999996,1238.1000000000001,5387.3,484.59999999999997,1109.1,1864.6000000000001,734.3,3080.6,730.5,259.5,6789.9
2002,1388.8000000000002,5733.4,9389.1,1729.4000000000003,1248.7999999999997,6229.3,608.4000000000001,1362.0000000000002,1910.8,890.8,3223.7,1078.5,545.9999999999999,7155.799999999999
2003,1749.6999999999994,5686.799999999999,9141.3,2230.3999999999996,1908.4,7572.2,773.5999999999999,1397.7,2059.6,1190.8,3575.0,1067.0,381.50000000000006,7771.500000000001
2004,2082.5000000000005,7314.700000000001,13244.599999999999,2894.5999999999995,2700.9,10044.399999999998,641.1999999999999,1838.8999999999999,2312.2999999999997,1695.9,3846.4,1657.0,503.69999999999993,9259.800000000001
2005,2471.4,7978.5,14283.400000000001,3366.1,2929.7,10851.0,679.1,1855.7999999999997,2790.5,2078.6,4288.5,1699.7,545.3000000000002,10675.899999999998
2006,5847.6,9266.9,17132.4,3894.5,3366.0,13420.900000000001,878.8999999999999,2259.0999999999995,3548.5,2442.0,4889.2,1719.9,697.1,11954.1
2007,4521.9000000000015,10513.0,18977.2,4653.1,4808.9,17417.2,1237.9,2998.2999999999997,4426.900000000001,3181.9,5802.8,2592.0,902.4999999999998,14491.900000000001
2008,4821.100000000001,11983.300000000001,19997.2,5679.5,5839.3,22597.299999999996,1071.3,3190.2000000000003,4676.5,3395.5999999999995,7303.8,2723.1000000000004,1768.1999999999998,15715.999999999998
2009,4174.299999999999,12048.700000000003,19906.7,7271.2,5353.900000000001,20944.299999999996,1065.3,2927.5,3883.6,3525.3,5490.999999999999,2164.7,1450.4,13768.5
2010,5423.5,12311.6,20964.1,8573.5,7490.099999999999,22239.0,1337.1000000000001,2892.0,4914.099999999999,3869.3,6646.2,2370.7000000000003,1798.6999999999998,16081.2
2011,6136.899999999999,13529.800000000003,22143.9,9772.099999999999,6919.099999999999,24733.699999999997,1312.3000000000002,3478.6000000000004,5087.8,4085.4,7539.3,2542.7,1823.2,16559.1
2012,6667.600000000002,15062.300000000001,22601.8,10502.7,7443.900000000001,27564.3,1435.4,2891.1000000000004,5135.7,4340.700000000001,8247.099999999999,2727.1,2723.0999999999995,19157.7
2013,8292.800000000001,16331.300000000001,24659.499999999996,11573.4,9198.9,31153.800000000003,1668.9,3819.5,5154.0,4820.6,9310.9,2806.0,2071.5999999999995,20624.2
2014,9360.2,17976.8,30681.299999999996,9906.6,10886.4,33689.1,1847.0000000000002,3945.1000000000004,5824.3,4222.599999999999,7814.999999999999,3373.2,2154.0,22054.0
2015,9717.1,19386.899999999998,34048.0,9152.7,11839.100000000002,35096.799999999996,2009.0999999999997,2411.2999999999997,7248.8,4208.799999999999,9402.7,3133.7,2550.9,22929.2
2016,8807.800000000001,19514.600000000002,36134.0,10410.900000000001,10760.4,34482.399999999994,2167.7,2570.5,7349.3,4399.4,9993.699999999999,2880.1,2590.6000000000004,23713.4
2017,10437.099999999999,19933.3,36770.9,12399.500000000002,16536.6,37306.6,2447.2,2503.4,7781.599999999999,5072.3,11505.600000000002,3012.5,3156.8,24581.8
