Year, Business Magement , Charges For The Use Of Intellectual Property , Construction , Financial , Insurance , Maintence And Repair Services , Manufacturing Services On Physical Inputs Owned By Others , Other Services , Personal Cultural And Recreation, Telecommunications Computer and Information , Trade related , Transport ,srv totals
2000,2792.5,8726.4,268.99999999999994,769.4,792.4999999999999,170.00000000000003,371.4,2829.4,81.30000000000001,1321.3,1269.2,7350.2,26742.6
2001,3616.6,8788.900000000001,262.5,687.1999999999999,618.9,192.3,468.7,3482.600000000001,82.2,1460.3,1995.2,7471.200000000001,29126.600000000002
2002,4715.7,8665.2,237.6,805.4999999999999,886.5999999999999,213.5,636.3000000000001,4518.8,182.4,1450.8999999999999,2355.0000000000005,8608.099999999999,33275.6
2003,5558.0,11641.7,263.7,966.4,1044.1999999999998,208.1,567.1,5170.6,161.4,1580.3999999999999,3546.1,14512.300000000001,45220.0
2004,5540.4,13463.7,732.0000000000001,1264.8000000000002,1086.3,218.9,1189.0,6349.299999999999,164.7,1639.6999999999998,5970.300000000001,18692.1,56311.2
2005,5820.000000000001,15053.599999999997,383.8,1303.4999999999998,1164.0,314.6,1571.1000000000001,6863.700000000001,185.1,1929.0,5357.1,21225.400000000005,61170.90000000001
2006,8213.8,15472.0,291.20000000000005,1996.3999999999999,1030.3999999999999,485.70000000000005,1686.8999999999999,9383.5,169.99999999999997,2505.1000000000004,6205.100000000001,22229.5,69669.59999999999
2007,8408.2,14771.600000000002,460.0,2830.0000000000005,1320.2,584.7,2167.1,10297.4,173.5,2793.3999999999996,7520.700000000001,27030.199999999997,78357.00000000001
2008,9541.9,19212.7,505.4,2845.1,1688.2,821.5999999999999,3298.0,12669.7,529.9,3363.2999999999997,7699.199999999999,29057.8,91232.8
2009,10112.099999999999,19284.099999999995,527.0000000000001,2676.5999999999995,1736.7,1061.1,4129.7,13079.9,217.80000000000004,3390.3000000000006,5640.599999999999,27538.8,89394.69999999998
2010,10746.2,23244.2,745.4,3331.7999999999997,2189.7,954.4,5376.199999999999,13491.0,549.0,4480.2,6726.2,31854.5,103688.8
2011,12818.8,25594.9,675.2,3685.0999999999995,2392.1,931.9,5282.0,12465.300000000001,564.2,7096.6,7539.4,33375.200000000004,112420.7
2012,13922.400000000001,28854.800000000003,819.4,3723.0000000000005,2371.0,884.9000000000001,6159.1,16612.2,548.2,9405.1,8162.7,38056.0,129518.80000000002
2013,15286.200000000003,28346.799999999996,833.1000000000001,4302.5,2746.0,904.2,4665.2,23816.2,584.1,11355.099999999999,9829.3,42548.700000000004,145217.40000000002
2014,16633.0,25992.799999999996,548.5000000000001,5119.1,2594.3000000000006,955.0000000000001,5532.799999999999,26725.899999999994,602.4999999999999,20061.699999999997,10586.0,50209.3,165560.9
2015,18115.2,26393.800000000003,618.9999999999999,5726.8,3528.7000000000003,1065.5,8989.2,31553.2,658.8,14713.8,10276.5,54892.09999999999,176532.59999999998
2016,21627.9,21146.800000000003,719.9,5753.400000000001,5204.0,942.7,8966.400000000001,30934.5,529.3000000000001,17451.2,12758.000000000002,50599.0,176633.10000000003
2017,23227.1,21334.100000000002,646.8,7143.000000000001,4547.8,877.8,9425.500000000002,42349.59999999999,515.6999999999999,20475.2,14497.199999999999,58327.299999999996,203367.09999999998
2018,26375.6,22739.8,915.6,8094.5,5726.2,1078.2,8558.400000000001,43643.2,583.5,19682.1,14552.500000000002,69890.0,221839.6
