Services sector,Employment,Energy,Materials,Rent,Services
 Accommodations Services,0.0,0.57772,1.5198,0.0,0.0
 Business Services,0.0,4.6856,20.34228,0.0,0.0
 Food & Beverage Services,0.0,0.8883800000000002,4.47372,0.0,0.0
 Health Services,0.0,0.33502000000000004,3.8152799999999996,0.0,0.0
 Information & Communications Services,0.0,1.14179,14.884079999999999,0.0,0.0
" Recreation, Community & Personal Services",0.0,1.6944200000000003,10.08504,0.0,0.0
 Retail Trade,0.0,0.9548,40.38407999999999,0.0,0.0
 Transport & Storage Services,0.0,127.86776,11.05728,0.0,0.0
 Wholesale Trade,0.0,51.15401,3021.5695199999996,0.0,0.0
