Region,Americas,Americas,Asean,Asia,Asia,Asia,Asia,Asia,Asia,Europe,Europe,Europe,Europe,Oceania,Oceania
Country,Total,USA,Total,Chi,Hong Kong,India,Japan,Korea,Total,EU 28,France,Germany,Total,Australia,Total
Year,,,,,,,,,,,,,,,
2000,6668.2,5743.4,3267.9,792.9000000000001,1197.8,452.90000000000003,2632.1,635.6999999999999,11645.1,4585.3,320.7,966.0,5250.099999999999,1138.1,1344.5
2001,6582.4,5559.9,3545.4,950.7,1291.0,480.2,2481.2999999999997,568.0,12026.0,5128.3,364.79999999999995,1014.3,5774.1,1143.5,1365.0
2002,6978.200000000001,5910.599999999999,3935.3999999999996,920.4,1321.6,537.2,2615.2999999999997,823.4,13027.8,5627.2,438.5,1242.8000000000002,6350.8,1368.7000000000003,1739.3999999999999
2003,7542.4,6313.1,3700.7999999999997,1481.0,1290.0,835.3000000000001,2917.6,769.5,13632.6,6557.299999999999,663.3,1228.4,7659.200000000001,1789.3999999999999,2091.7
2004,8942.7,7526.5,4670.9,1977.3,1354.4,1137.9,3274.7999999999997,1133.6,16903.9,7410.700000000001,464.5,1605.1,9640.6,2252.0,2660.8
2005,10111.2,8500.1,5128.599999999999,2246.2,1655.7,1435.4999999999998,3408.1,1320.7,19119.399999999998,7588.400000000001,482.90000000000003,1592.4,10065.9,2597.3999999999996,3047.7000000000003
2006,11121.400000000001,9231.2,5333.3,2514.2000000000003,2211.7000000000003,1717.1,3871.1,1391.5,21246.899999999998,9108.4,496.0,1904.6999999999998,11988.2,2916.7,3462.9
2007,12427.2,10204.2,6024.3,3734.9999999999995,2683.0,2206.3,4501.0,1580.3,25580.3,11130.900000000001,685.3000000000001,2436.3999999999996,15170.8,3467.4,4159.9
2008,13414.5,11089.4,6803.800000000001,4270.6,2808.5,2387.7999999999997,4697.6,1724.2,28719.2,15027.199999999999,730.3,2581.6,19466.5,4353.0,5086.0
2009,11741.4,9636.7,6643.900000000001,3735.6000000000004,2313.3,1910.2,3973.1,1341.5,25284.3,13773.900000000001,635.7,2125.7,17859.6,5131.1,6133.9
2010,14215.000000000002,11653.900000000001,7064.099999999999,5640.2,2838.0,2226.7,4605.0,1568.5,30215.699999999997,14161.3,747.4000000000001,2322.5,18289.5,5532.1,6626.8
2011,14978.0,12318.5,7578.2,4850.5,2648.7,2127.0,5018.1,1686.6,30085.1,14478.8,708.7,2327.7,19149.9,6014.7,7302.6
2012,17160.9,14882.4,8511.5,5024.900000000001,2760.8,2308.8,4988.3,1776.9999999999998,30340.7,13351.0,833.9,2105.7,18706.8,6571.5,8110.0
2013,18522.3,16075.4,8840.6,6213.0,2770.4,2780.1,5199.0,1824.5,33148.200000000004,15746.4,938.3,2346.0,22084.0,5858.8,7335.4
2014,19684.8,16518.300000000003,9098.099999999999,7232.6,3042.3,2547.6,5315.5,2131.5,35569.7,15863.8,1036.6,2301.2,22696.4,6039.4,7695.6
2015,19537.3,16237.2,9439.2,7420.1,3663.1000000000004,2631.3999999999996,6237.2,1745.8000000000002,37741.8,15017.1,1171.6,1659.1,22312.5,5353.3,7119.599999999999
2016,18531.8,15486.1,8559.8,6477.7,3498.1,2453.2000000000003,5776.4,1589.5,34510.5,14654.7,1316.2,1776.1,21093.2,6079.4,7860.1
2017,19782.6,15916.6,8816.2,10163.0,3734.6000000000004,3071.0,6511.6,1700.5,38645.7,16023.7,1533.4,1774.2,23310.199999999997,7493.2,9451.2
